province,agency,vehicle_type,presumed_cause,accident_type,number_of_vehicles_involved,number_of_fatalities,number_of_injuries,weather_condition,road_description,slope_description
Krabi,department of highways,large truck with trailer,falling asleep,rollover/fallen on straight road,1,0,0,clear,straight road,no slope
Chon Buri,department of highways,large truck with trailer,cutting in closely by people/vehicles/animals,rear-end collision,3,0,2,clear,straight road,no slope
Surat Thani,department of highways,large truck with trailer,speeding,rear-end collision,4,0,3,clear,other,other
Chon Buri,department of highways,4-wheel pickup truck,cutting in closely by people/vehicles/animals,rollover/fallen on straight road,2,0,0,clear,straight road,no slope
Chon Buri,department of highways,4-wheel pickup truck,worn-out/tire blowout,rollover/fallen on straight road,1,0,0,clear,straight road,no slope
Chon Buri,department of highways,motorcycle,speeding,rear-end collision,3,1,2,clear,straight road,no slope
Chon Buri,department of highways,other,speeding,rear-end collision,0,0,0,clear,straight road,no slope
Chiang Mai,department of highways,private/passenger car,speeding,rollover/fallen on straight road,1,0,0,clear,straight road,no slope
Surat Thani,department of highways,4-wheel pickup truck,speeding,collision with obstruction (on road surface),1,0,0,clear,other,other
Songkhla,department of highways,private/passenger car,speeding,rollover/fallen on straight road,1,0,1,clear,straight road,no slope
Surat Thani,department of highways,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,2,clear,straight road,no slope
Chiang Mai,department of highways,motorcycle,speeding,head-on collision (not overtaking),2,0,1,clear,straight road,no slope
Chon Buri,department of highways,private/passenger car,speeding,rollover/fallen on straight road,1,0,1,clear,straight road,no slope
Chon Buri,department of highways,private/passenger car,speeding,rollover/fallen on straight road,1,0,0,clear,straight road,no slope
Prachuap Khiri Khan,department of highways,4-wheel pickup truck,falling asleep,rollover/fallen on straight road,1,0,1,clear,straight road,no slope
Phangnga,department of highways,private/passenger car,speeding,rollover/fallen on straight road,1,0,0,clear,straight road,no slope
Kanchanaburi,department of highways,4-wheel pickup truck,unfamiliarity with the route/unskilled driving,rollover/fallen on straight road,1,0,1,clear,straight road,no slope
Chiang Mai,department of rural roads,4-wheel pickup truck,speeding,other,2,2,3,clear,straight road,no slope
Kanchanaburi,department of highways,4-wheel pickup truck,speeding,rear-end collision,2,0,4,clear,straight road,no slope
Chon Buri,department of highways,motorcycle,speeding,rollover/fallen on straight road,1,0,1,clear,other,other
Kanchanaburi,department of highways,4-wheel pickup truck,loss of control,rollover/fallen on straight road,1,0,0,other,straight road,no slope
Chon Buri,department of highways,private/passenger car,falling asleep,rollover/fallen on straight road,1,0,0,clear,straight road,no slope
Chon Buri,department of highways,6-wheel truck,falling asleep,rear-end collision,2,0,1,clear,straight road,no slope
Chon Buri,department of highways,4-wheel pickup truck,speeding,rear-end collision,2,0,1,clear,straight road,no slope
Chon Buri,department of highways,large truck with trailer,worn-out/tire blowout,rear-end collision,3,1,0,clear,straight road,no slope
Chon Buri,department of highways,van,speeding,rear-end collision,2,0,1,clear,straight road,no slope
Kanchanaburi,department of highways,motorcycle,speeding,rollover/fallen on straight road,1,1,0,clear,straight road,no slope
Chon Buri,department of highways,private/passenger car,falling asleep,rear-end collision,2,0,1,clear,straight road,no slope
Chon Buri,department of highways,4-wheel pickup truck,speeding,rear-end collision,2,0,1,clear,straight road,no slope
Chon Buri,department of highways,private/passenger car,speeding,other,1,0,0,clear,wide curve,no slope
Kanchanaburi,department of highways,private/passenger car,falling asleep,rollover/fallen on straight road,1,0,1,clear,straight road,no slope
Chiang Mai,department of highways,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,1,clear,straight road,no slope
Chon Buri,department of highways,other,speeding,rollover/fallen on straight road,1,0,0,clear,straight road,no slope
Chon Buri,department of highways,4-wheel pickup truck,speeding,rear-end collision,2,0,0,clear,straight road,no slope
Kanchanaburi,department of highways,motorcycle,cutting in closely by people/vehicles/animals,side collision,2,0,1,clear,straight road,no slope
Surat Thani,department of highways,motorcycle,insufficient light,pedestrian collision,1,0,2,clear,other,other
Chon Buri,department of highways,private/passenger car,cutting in closely by people/vehicles/animals,rear-end collision,2,0,1,clear,other,other
Phuket,department of highways,private/passenger car,speeding,rear-end collision,4,1,0,clear,straight road,no slope
Prachuap Khiri Khan,department of highways,4-wheel pickup truck,worn-out/tire blowout,rollover/fallen on straight road,1,0,0,clear,straight road,no slope
Chon Buri,department of highways,4-wheel pickup truck,speeding,rear-end collision,3,0,0,clear,straight road,no slope
Chiang Rai,department of highways,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,1,clear,straight road,no slope
Phuket,department of highways,motorcycle,speeding,rollover/fallen on straight road,1,0,1,clear,straight road,no slope
Songkhla,department of highways,private/passenger car,falling asleep,rollover/fallen on straight road,1,0,1,clear,straight road,no slope
Surat Thani,department of highways,motorcycle,speeding,rear-end collision,2,0,3,clear,other,other
Prachuap Khiri Khan,department of highways,4-wheel pickup truck,speeding,other,3,0,1,clear,connecting to public/commercial area,other
Chiang Rai,department of highways,4-wheel pickup truck,slippery road,rollover/fallen on curved road,1,0,1,rainy,wide curve,no slope
Kanchanaburi,department of highways,motorcycle,speeding,rear-end collision,2,0,4,clear,straight road,no slope
Chiang Mai,department of highways,4-wheel pickup truck,unfamiliarity with the route/unskilled driving,pedestrian collision,1,0,2,clear,wide curve,slope area
Prachuap Khiri Khan,department of highways,4-wheel pickup truck,worn-out/tire blowout,rollover/fallen on straight road,1,0,1,clear,straight road,no slope
Chiang Rai,department of highways,4-wheel pickup truck,slippery road,rollover/fallen on curved road,1,0,0,rainy,other,other
Surat Thani,department of highways,4-wheel pickup truck,speeding,rear-end collision,2,0,0,clear,straight road,no slope
Surat Thani,department of highways,private/passenger car,speeding,rear-end collision,2,0,1,clear,straight road,no slope
Prachuap Khiri Khan,department of highways,4-wheel pickup truck,speeding,rear-end collision,2,0,3,clear,straight road,no slope
Songkhla,department of highways,private/passenger car,speeding,rear-end collision,2,0,1,clear,other,other
Chiang Rai,department of highways,6-wheel truck,speeding,rear-end collision,2,0,1,clear,straight road,no slope
Surat Thani,department of highways,4-wheel pickup truck,cutting in closely by people/vehicles/animals,rear-end collision,2,1,0,clear,straight road,no slope
Chiang Rai,department of highways,motorcycle,reversing vehicle,collision with obstruction (on road surface),2,1,1,other,straight road,no slope
Krabi,department of rural roads,motorcycle,medical condition,other,1,1,0,clear,wide curve,no slope
